dataset_name,strat_name,num_clients,batch_size,theta,nn_name,epoch,total_rounds,total_fda_steps,epoch_duration_sec,accuracy
CIFAR10,naive,48,32,250.0,DenseNet121,1,7,33,94.21293568611145,0.1
CIFAR10,naive,48,32,250.0,DenseNet121,2,9,66,43.89676332473755,0.1268
CIFAR10,naive,48,32,250.0,DenseNet121,3,10,99,35.729576110839844,0.294
CIFAR10,naive,48,32,250.0,DenseNet121,4,11,132,35.521785259246826,0.3145
CIFAR10,naive,48,32,250.0,DenseNet121,5,11,165,27.704437494277954,0.3355
CIFAR10,naive,48,32,250.0,DenseNet121,6,11,198,27.460460662841797,0.3553
CIFAR10,naive,48,32,250.0,DenseNet121,7,12,231,35.55991530418396,0.3629
CIFAR10,naive,48,32,250.0,DenseNet121,8,12,264,27.260652780532837,0.3906
CIFAR10,naive,48,32,250.0,DenseNet121,9,12,297,27.46419405937195,0.4163
CIFAR10,naive,48,32,250.0,DenseNet121,10,12,330,27.120333909988403,0.4287
CIFAR10,naive,48,32,250.0,DenseNet121,11,13,363,35.68122410774231,0.4487
CIFAR10,naive,48,32,250.0,DenseNet121,12,13,396,27.144779205322266,0.4651
CIFAR10,naive,48,32,250.0,DenseNet121,13,13,429,27.230949640274048,0.4807
CIFAR10,naive,48,32,250.0,DenseNet121,14,14,462,35.67897701263428,0.497
CIFAR10,naive,48,32,250.0,DenseNet121,15,14,495,27.145390033721924,0.5099
CIFAR10,naive,48,32,250.0,DenseNet121,16,14,528,27.22489070892334,0.5125
CIFAR10,naive,48,32,250.0,DenseNet121,17,14,561,27.157713890075684,0.521
CIFAR10,naive,48,32,250.0,DenseNet121,18,15,594,35.50197696685791,0.534
CIFAR10,naive,48,32,250.0,DenseNet121,19,15,627,27.358044624328613,0.5426
CIFAR10,naive,48,32,250.0,DenseNet121,20,15,660,27.427021026611328,0.5536
CIFAR10,naive,48,32,250.0,DenseNet121,21,16,693,35.339431047439575,0.5616
CIFAR10,naive,48,32,250.0,DenseNet121,22,16,726,27.354507446289062,0.5687
CIFAR10,naive,48,32,250.0,DenseNet121,23,16,759,27.555389642715454,0.5805
CIFAR10,naive,48,32,250.0,DenseNet121,24,17,792,35.58821082115173,0.5938
CIFAR10,naive,48,32,250.0,DenseNet121,25,17,825,27.296039819717407,0.6037
CIFAR10,naive,48,32,250.0,DenseNet121,26,18,858,35.54154109954834,0.609
CIFAR10,naive,48,32,250.0,DenseNet121,27,18,891,27.43807053565979,0.6172
CIFAR10,naive,48,32,250.0,DenseNet121,28,18,924,27.27223491668701,0.6247
CIFAR10,naive,48,32,250.0,DenseNet121,29,19,957,35.50816774368286,0.6304
CIFAR10,naive,48,32,250.0,DenseNet121,30,19,990,27.35935950279236,0.6371
CIFAR10,naive,48,32,250.0,DenseNet121,31,20,1023,35.59087157249451,0.6462
CIFAR10,naive,48,32,250.0,DenseNet121,32,20,1056,27.41184377670288,0.6467
CIFAR10,naive,48,32,250.0,DenseNet121,33,20,1089,27.28115153312683,0.6552
CIFAR10,naive,48,32,250.0,DenseNet121,34,21,1122,35.512282609939575,0.6616
CIFAR10,naive,48,32,250.0,DenseNet121,35,21,1155,27.166592359542847,0.6695
CIFAR10,naive,48,32,250.0,DenseNet121,36,22,1188,35.47486686706543,0.6742
CIFAR10,naive,48,32,250.0,DenseNet121,37,22,1221,27.202112674713135,0.6747
CIFAR10,naive,48,32,250.0,DenseNet121,38,23,1254,35.53627276420593,0.6863
CIFAR10,naive,48,32,250.0,DenseNet121,39,23,1287,27.289314031600952,0.6877
CIFAR10,naive,48,32,250.0,DenseNet121,40,24,1320,35.60470700263977,0.6905
CIFAR10,naive,48,32,250.0,DenseNet121,41,24,1353,27.272316217422485,0.7014
CIFAR10,naive,48,32,250.0,DenseNet121,42,25,1386,35.56308126449585,0.7
CIFAR10,naive,48,32,250.0,DenseNet121,43,25,1419,27.406529426574707,0.6972
CIFAR10,naive,48,32,250.0,DenseNet121,44,26,1452,35.64805841445923,0.7041
CIFAR10,naive,48,32,250.0,DenseNet121,45,26,1485,27.323050022125244,0.7108
CIFAR10,naive,48,32,250.0,DenseNet121,46,27,1518,35.442583084106445,0.7139
CIFAR10,naive,48,32,250.0,DenseNet121,47,28,1551,35.50606822967529,0.7171
CIFAR10,naive,48,32,250.0,DenseNet121,48,28,1584,27.291139841079712,0.7236
CIFAR10,naive,48,32,250.0,DenseNet121,49,29,1617,35.5660080909729,0.7333
CIFAR10,naive,48,32,250.0,DenseNet121,50,29,1650,27.163519144058228,0.73
CIFAR10,naive,48,32,250.0,DenseNet121,51,30,1683,35.520343542099,0.7314
CIFAR10,naive,48,32,250.0,DenseNet121,52,30,1716,27.257660150527954,0.7322
CIFAR10,naive,48,32,250.0,DenseNet121,53,31,1749,35.33150506019592,0.7373
CIFAR10,naive,48,32,250.0,DenseNet121,54,31,1782,27.149025201797485,0.7368
CIFAR10,naive,48,32,250.0,DenseNet121,55,32,1815,35.38969683647156,0.737
CIFAR10,naive,48,32,250.0,DenseNet121,56,33,1848,35.729816198349,0.7402
CIFAR10,naive,48,32,250.0,DenseNet121,57,33,1881,27.32734966278076,0.7377
CIFAR10,naive,48,32,250.0,DenseNet121,58,34,1914,35.51848912239075,0.7423
CIFAR10,naive,48,32,250.0,DenseNet121,59,34,1947,27.467660188674927,0.7455
CIFAR10,naive,48,32,250.0,DenseNet121,60,35,1980,35.561585664749146,0.7524
CIFAR10,naive,48,32,250.0,DenseNet121,61,35,2013,27.116441011428833,0.7496
CIFAR10,naive,48,32,250.0,DenseNet121,62,36,2046,35.725701570510864,0.7459
CIFAR10,naive,48,32,250.0,DenseNet121,63,37,2079,35.5967857837677,0.7476
CIFAR10,naive,48,32,250.0,DenseNet121,64,37,2112,27.360608100891113,0.7556
CIFAR10,naive,48,32,250.0,DenseNet121,65,38,2145,35.4854838848114,0.7606
CIFAR10,naive,48,32,250.0,DenseNet121,66,39,2178,35.43942332267761,0.7581
CIFAR10,naive,48,32,250.0,DenseNet121,67,39,2211,27.2850399017334,0.7532
CIFAR10,naive,48,32,250.0,DenseNet121,68,40,2244,35.780168533325195,0.7593
CIFAR10,naive,48,32,250.0,DenseNet121,69,40,2277,27.211869716644287,0.7546
CIFAR10,naive,48,32,250.0,DenseNet121,70,41,2310,35.59772443771362,0.7589
CIFAR10,naive,48,32,250.0,DenseNet121,71,42,2343,35.72766399383545,0.7669
CIFAR10,naive,48,32,250.0,DenseNet121,72,42,2376,27.26467776298523,0.7652
CIFAR10,naive,48,32,250.0,DenseNet121,73,43,2409,35.52398419380188,0.7599
CIFAR10,naive,48,32,250.0,DenseNet121,74,44,2442,35.43339562416077,0.7693
CIFAR10,naive,48,32,250.0,DenseNet121,75,44,2475,27.398263454437256,0.7652
CIFAR10,naive,48,32,250.0,DenseNet121,76,45,2508,35.47514891624451,0.7649
CIFAR10,naive,48,32,250.0,DenseNet121,77,46,2541,35.63993692398071,0.7711
CIFAR10,naive,48,32,250.0,DenseNet121,78,46,2574,27.276320219039917,0.7704
CIFAR10,naive,48,32,250.0,DenseNet121,79,47,2607,35.491767168045044,0.77
CIFAR10,naive,48,32,250.0,DenseNet121,80,48,2640,35.61522459983826,0.7716
CIFAR10,naive,48,32,250.0,DenseNet121,81,48,2673,27.201711416244507,0.7667
CIFAR10,naive,48,32,250.0,DenseNet121,82,49,2706,35.537744760513306,0.772
CIFAR10,naive,48,32,250.0,DenseNet121,83,50,2739,35.79174304008484,0.7793
CIFAR10,naive,48,32,250.0,DenseNet121,84,50,2772,27.192814826965332,0.7757
CIFAR10,naive,48,32,250.0,DenseNet121,85,51,2805,35.31825256347656,0.7696
CIFAR10,naive,48,32,250.0,DenseNet121,86,52,2838,35.47534704208374,0.7707
CIFAR10,naive,48,32,250.0,DenseNet121,87,53,2871,35.493924140930176,0.7757
CIFAR10,naive,48,32,250.0,DenseNet121,88,53,2904,27.22515845298767,0.7718
CIFAR10,naive,48,32,250.0,DenseNet121,89,54,2937,35.51465821266174,0.7755
