dataset_name,strat_name,num_clients,batch_size,theta,nn_name,epoch,total_rounds,total_fda_steps,epoch_duration_sec,accuracy
CIFAR10,sketch,16,32,250.0,DenseNet121,1,8,98,119.50766277313232,0.1474
CIFAR10,sketch,16,32,250.0,DenseNet121,2,8,196,87.13473796844482,0.3384
CIFAR10,sketch,16,32,250.0,DenseNet121,3,9,294,90.24896669387817,0.3767
CIFAR10,sketch,16,32,250.0,DenseNet121,4,9,392,87.30555582046509,0.4241
CIFAR10,sketch,16,32,250.0,DenseNet121,5,10,490,90.0878746509552,0.464
CIFAR10,sketch,16,32,250.0,DenseNet121,6,10,588,87.28982186317444,0.5042
CIFAR10,sketch,16,32,250.0,DenseNet121,7,10,686,87.01222133636475,0.5182
CIFAR10,sketch,16,32,250.0,DenseNet121,8,11,784,90.03758716583252,0.5438
CIFAR10,sketch,16,32,250.0,DenseNet121,9,11,882,87.53476095199585,0.5661
CIFAR10,sketch,16,32,250.0,DenseNet121,10,12,980,90.06753206253052,0.5798
CIFAR10,sketch,16,32,250.0,DenseNet121,11,12,1078,87.14414978027344,0.6015
CIFAR10,sketch,16,32,250.0,DenseNet121,12,13,1176,89.89648938179016,0.6102
CIFAR10,sketch,16,32,250.0,DenseNet121,13,13,1274,87.42107319831848,0.6363
CIFAR10,sketch,16,32,250.0,DenseNet121,14,14,1372,89.86443567276001,0.6486
CIFAR10,sketch,16,32,250.0,DenseNet121,15,15,1470,90.19771432876587,0.6624
CIFAR10,sketch,16,32,250.0,DenseNet121,16,15,1568,87.38433837890625,0.6609
CIFAR10,sketch,16,32,250.0,DenseNet121,17,16,1666,90.14145350456238,0.6747
CIFAR10,sketch,16,32,250.0,DenseNet121,18,16,1764,87.34091305732727,0.6798
CIFAR10,sketch,16,32,250.0,DenseNet121,19,17,1862,90.15645503997803,0.6935
CIFAR10,sketch,16,32,250.0,DenseNet121,20,18,1960,89.9847400188446,0.6986
CIFAR10,sketch,16,32,250.0,DenseNet121,21,19,2058,90.08232355117798,0.7131
CIFAR10,sketch,16,32,250.0,DenseNet121,22,19,2156,87.44602847099304,0.7133
CIFAR10,sketch,16,32,250.0,DenseNet121,23,20,2254,90.40964603424072,0.7194
CIFAR10,sketch,16,32,250.0,DenseNet121,24,21,2352,90.00099658966064,0.7191
CIFAR10,sketch,16,32,250.0,DenseNet121,25,22,2450,90.14818024635315,0.735
CIFAR10,sketch,16,32,250.0,DenseNet121,26,22,2548,87.45730018615723,0.7407
CIFAR10,sketch,16,32,250.0,DenseNet121,27,23,2646,90.01020193099976,0.7484
CIFAR10,sketch,16,32,250.0,DenseNet121,28,24,2744,90.14230275154114,0.7372
CIFAR10,sketch,16,32,250.0,DenseNet121,29,25,2842,90.02816891670227,0.7374
CIFAR10,sketch,16,32,250.0,DenseNet121,30,26,2940,90.24823641777039,0.7595
CIFAR10,sketch,16,32,250.0,DenseNet121,31,27,3038,90.09590220451355,0.7541
CIFAR10,sketch,16,32,250.0,DenseNet121,32,28,3136,90.0966579914093,0.7569
CIFAR10,sketch,16,32,250.0,DenseNet121,33,29,3234,90.24859094619751,0.766
CIFAR10,sketch,16,32,250.0,DenseNet121,34,30,3332,90.11792421340942,0.7598
CIFAR10,sketch,16,32,250.0,DenseNet121,35,31,3430,90.247061252594,0.7652
CIFAR10,sketch,16,32,250.0,DenseNet121,36,32,3528,90.1825520992279,0.7693
CIFAR10,sketch,16,32,250.0,DenseNet121,37,33,3626,90.10733461380005,0.7702
CIFAR10,sketch,16,32,250.0,DenseNet121,38,34,3724,90.17750954627991,0.7716
CIFAR10,sketch,16,32,250.0,DenseNet121,39,35,3822,90.2440435886383,0.774
CIFAR10,sketch,16,32,250.0,DenseNet121,40,36,3920,89.96075391769409,0.7785
CIFAR10,sketch,16,32,250.0,DenseNet121,41,37,4018,89.98571920394897,0.7815
CIFAR10,sketch,16,32,250.0,DenseNet121,42,38,4116,90.10273337364197,0.7833
CIFAR10,sketch,16,32,250.0,DenseNet121,43,39,4214,89.761234998703,0.7805
CIFAR10,sketch,16,32,250.0,DenseNet121,44,41,4312,92.70991396903992,0.7901
CIFAR10,sketch,16,32,250.0,DenseNet121,45,42,4410,90.01230144500732,0.7895
CIFAR10,sketch,16,32,250.0,DenseNet121,46,43,4508,90.48021268844604,0.7914
CIFAR10,sketch,16,32,250.0,DenseNet121,47,44,4606,89.98330545425415,0.7812
CIFAR10,sketch,16,32,250.0,DenseNet121,48,45,4704,89.8672387599945,0.7895
CIFAR10,sketch,16,32,250.0,DenseNet121,49,47,4802,93.12984919548035,0.7877
CIFAR10,sketch,16,32,250.0,DenseNet121,50,48,4900,90.15789461135864,0.7932
CIFAR10,sketch,16,32,250.0,DenseNet121,51,49,4998,90.02557682991028,0.7891
CIFAR10,sketch,16,32,250.0,DenseNet121,52,51,5096,92.83294153213501,0.7884
CIFAR10,sketch,16,32,250.0,DenseNet121,53,52,5194,90.32617545127869,0.7963
CIFAR10,sketch,16,32,250.0,DenseNet121,54,53,5292,90.09944319725037,0.7836
CIFAR10,sketch,16,32,250.0,DenseNet121,55,55,5390,92.84781980514526,0.796
CIFAR10,sketch,16,32,250.0,DenseNet121,56,56,5488,90.18215894699097,0.7953
CIFAR10,sketch,16,32,250.0,DenseNet121,57,57,5586,90.38157796859741,0.7956
CIFAR10,sketch,16,32,250.0,DenseNet121,58,59,5684,92.79179692268372,0.7989
CIFAR10,sketch,16,32,250.0,DenseNet121,59,60,5782,90.16620659828186,0.7916
CIFAR10,sketch,16,32,250.0,DenseNet121,60,62,5880,93.0176773071289,0.7929
CIFAR10,sketch,16,32,250.0,DenseNet121,61,63,5978,90.33599853515625,0.7964
CIFAR10,sketch,16,32,250.0,DenseNet121,62,65,6076,93.024667263031,0.8058
CIFAR10,sketch,16,32,250.0,DenseNet121,63,66,6174,89.97804021835327,0.7992
CIFAR10,sketch,16,32,250.0,DenseNet121,64,68,6272,92.8954393863678,0.7999
CIFAR10,sketch,16,32,250.0,DenseNet121,65,70,6370,93.2149429321289,0.7991
CIFAR10,sketch,16,32,250.0,DenseNet121,66,71,6468,90.12729334831238,0.798
CIFAR10,sketch,16,32,250.0,DenseNet121,67,73,6566,92.97751903533936,0.806
CIFAR10,sketch,16,32,250.0,DenseNet121,68,74,6664,90.05686163902283,0.8035
CIFAR10,sketch,16,32,250.0,DenseNet121,69,76,6762,92.91229248046875,0.8064
CIFAR10,sketch,16,32,250.0,DenseNet121,70,77,6860,90.23456931114197,0.8031
CIFAR10,sketch,16,32,250.0,DenseNet121,71,79,6958,92.83637070655823,0.8026
CIFAR10,sketch,16,32,250.0,DenseNet121,72,81,7056,92.82623624801636,0.8069
CIFAR10,sketch,16,32,250.0,DenseNet121,73,82,7154,90.21879410743713,0.7996
CIFAR10,sketch,16,32,250.0,DenseNet121,74,84,7252,92.81559753417969,0.8067
CIFAR10,sketch,16,32,250.0,DenseNet121,75,86,7350,92.8971300125122,0.8064
CIFAR10,sketch,16,32,250.0,DenseNet121,76,87,7448,90.03897619247437,0.8086
CIFAR10,sketch,16,32,250.0,DenseNet121,77,89,7546,92.75473761558533,0.8104
CIFAR10,sketch,16,32,250.0,DenseNet121,78,91,7644,92.67216944694519,0.8034
CIFAR10,sketch,16,32,250.0,DenseNet121,79,92,7742,90.30707311630249,0.804
CIFAR10,sketch,16,32,250.0,DenseNet121,80,94,7840,92.90031671524048,0.8065
CIFAR10,sketch,16,32,250.0,DenseNet121,81,96,7938,92.80543851852417,0.805
CIFAR10,sketch,16,32,250.0,DenseNet121,82,97,8036,90.22738647460938,0.8084
CIFAR10,sketch,16,32,250.0,DenseNet121,83,99,8134,92.68280410766602,0.8072
CIFAR10,sketch,16,32,250.0,DenseNet121,84,101,8232,92.70033979415894,0.8094
CIFAR10,sketch,16,32,250.0,DenseNet121,85,102,8330,90.33400321006775,0.8122
CIFAR10,sketch,16,32,250.0,DenseNet121,86,104,8428,93.22174549102783,0.811
CIFAR10,sketch,16,32,250.0,DenseNet121,87,105,8526,90.22339725494385,0.8076
CIFAR10,sketch,16,32,250.0,DenseNet121,88,107,8624,93.04308915138245,0.8059
CIFAR10,sketch,16,32,250.0,DenseNet121,89,109,8722,93.28827118873596,0.8055
CIFAR10,sketch,16,32,250.0,DenseNet121,90,110,8820,90.01542901992798,0.8072
CIFAR10,sketch,16,32,250.0,DenseNet121,91,112,8918,93.11653542518616,0.8088
CIFAR10,sketch,16,32,250.0,DenseNet121,92,114,9016,92.92257452011108,0.8047
CIFAR10,sketch,16,32,250.0,DenseNet121,93,115,9114,90.21092534065247,0.8072
CIFAR10,sketch,16,32,250.0,DenseNet121,94,117,9212,92.98002362251282,0.8079
CIFAR10,sketch,16,32,250.0,DenseNet121,95,118,9310,89.9619345664978,0.8021
CIFAR10,sketch,16,32,250.0,DenseNet121,96,120,9408,92.56351161003113,0.8085
CIFAR10,sketch,16,32,250.0,DenseNet121,97,121,9506,89.930819272995,0.8114
CIFAR10,sketch,16,32,250.0,DenseNet121,98,123,9604,92.63275194168091,0.8095
CIFAR10,sketch,16,32,250.0,DenseNet121,99,125,9702,92.5804648399353,0.8054
