dataset_name,strat_name,num_clients,batch_size,theta,nn_name,epoch,total_rounds,total_fda_steps,epoch_duration_sec,accuracy
MNIST,linear,40,32,1.0,LeNet-5,1,3,47,7.30620265007019,0.8789
MNIST,linear,40,32,1.0,LeNet-5,2,4,94,4.518394947052002,0.9048
MNIST,linear,40,32,1.0,LeNet-5,3,5,141,4.545487403869629,0.9148
MNIST,linear,40,32,1.0,LeNet-5,4,6,188,4.581403732299805,0.9248
MNIST,linear,40,32,1.0,LeNet-5,5,7,235,4.56395697593689,0.9312
MNIST,linear,40,32,1.0,LeNet-5,6,8,282,4.610779047012329,0.9376
MNIST,linear,40,32,1.0,LeNet-5,7,9,329,4.58423113822937,0.9418
MNIST,linear,40,32,1.0,LeNet-5,8,10,376,4.570342540740967,0.946
MNIST,linear,40,32,1.0,LeNet-5,9,11,423,4.592372417449951,0.9481
MNIST,linear,40,32,1.0,LeNet-5,10,12,470,4.603776216506958,0.9524
MNIST,linear,40,32,1.0,LeNet-5,11,13,517,4.6175737380981445,0.9558
MNIST,linear,40,32,1.0,LeNet-5,12,14,564,4.5866124629974365,0.9573
MNIST,linear,40,32,1.0,LeNet-5,13,15,611,4.609257936477661,0.9591
MNIST,linear,40,32,1.0,LeNet-5,14,16,658,4.632967948913574,0.9604
MNIST,linear,40,32,1.0,LeNet-5,15,17,705,4.628045082092285,0.9639
MNIST,linear,40,32,1.0,LeNet-5,16,18,752,4.58689284324646,0.9654
MNIST,linear,40,32,1.0,LeNet-5,17,19,799,4.632984161376953,0.9669
MNIST,linear,40,32,1.0,LeNet-5,18,20,846,4.6185712814331055,0.9679
MNIST,linear,40,32,1.0,LeNet-5,19,21,893,4.604234933853149,0.9697
MNIST,linear,40,32,1.0,LeNet-5,20,22,940,4.73913049697876,0.9705
MNIST,linear,40,32,1.0,LeNet-5,21,24,987,4.817168951034546,0.9703
MNIST,linear,40,32,1.0,LeNet-5,22,25,1034,4.5763115882873535,0.9727
MNIST,linear,40,32,1.0,LeNet-5,23,26,1081,4.651611804962158,0.9726
MNIST,linear,40,32,1.0,LeNet-5,24,27,1128,4.593163728713989,0.9737
MNIST,linear,40,32,1.0,LeNet-5,25,28,1175,4.582522869110107,0.975
MNIST,linear,40,32,1.0,LeNet-5,26,29,1222,4.566362142562866,0.9755
MNIST,linear,40,32,1.0,LeNet-5,27,30,1269,4.5736472606658936,0.975
MNIST,linear,40,32,1.0,LeNet-5,28,31,1316,4.5840582847595215,0.976
MNIST,linear,40,32,1.0,LeNet-5,29,32,1363,4.613872289657593,0.9767
MNIST,linear,40,32,1.0,LeNet-5,30,33,1410,4.5909423828125,0.9779
MNIST,linear,40,32,1.0,LeNet-5,31,34,1457,4.5930798053741455,0.978
MNIST,linear,40,32,1.0,LeNet-5,32,36,1504,4.79692816734314,0.9783
MNIST,linear,40,32,1.0,LeNet-5,33,37,1551,4.6150901317596436,0.9788
MNIST,linear,40,32,1.0,LeNet-5,34,38,1598,4.630129098892212,0.9795
MNIST,linear,40,32,1.0,LeNet-5,35,39,1645,4.581026315689087,0.9799
MNIST,linear,40,32,1.0,LeNet-5,36,40,1692,4.611552953720093,0.9804
MNIST,linear,40,32,1.0,LeNet-5,37,41,1739,4.584115743637085,0.9802
MNIST,linear,40,32,1.0,LeNet-5,38,42,1786,4.619735956192017,0.9815
MNIST,linear,40,32,1.0,LeNet-5,39,43,1833,4.5913307666778564,0.9815
MNIST,linear,40,32,1.0,LeNet-5,40,44,1880,4.581525564193726,0.9816
MNIST,linear,40,32,1.0,LeNet-5,41,45,1927,4.589052200317383,0.9817
MNIST,linear,40,32,1.0,LeNet-5,42,46,1974,4.567519664764404,0.9831
MNIST,linear,40,32,1.0,LeNet-5,43,47,2021,4.591562509536743,0.9829
MNIST,linear,40,32,1.0,LeNet-5,44,49,2068,4.800128936767578,0.9837
MNIST,linear,40,32,1.0,LeNet-5,45,50,2115,4.6074347496032715,0.9836
MNIST,linear,40,32,1.0,LeNet-5,46,51,2162,4.5553765296936035,0.9829
MNIST,linear,40,32,1.0,LeNet-5,47,52,2209,4.590688943862915,0.9843
MNIST,linear,40,32,1.0,LeNet-5,48,53,2256,4.580036163330078,0.9836
MNIST,linear,40,32,1.0,LeNet-5,49,54,2303,4.62553596496582,0.9836
MNIST,linear,40,32,1.0,LeNet-5,50,55,2350,4.568282127380371,0.9842
MNIST,linear,40,32,1.0,LeNet-5,51,56,2397,4.609332323074341,0.9849
