dataset_name,strat_name,num_clients,batch_size,theta,nn_name,epoch,total_rounds,total_fda_steps,epoch_duration_sec,accuracy
CIFAR10,linear,12,32,250.0,DenseNet201,1,17,131,256.6584243774414,0.1688
CIFAR10,linear,12,32,250.0,DenseNet201,2,19,262,180.73150777816772,0.235
CIFAR10,linear,12,32,250.0,DenseNet201,3,19,393,172.97614669799805,0.2163
CIFAR10,linear,12,32,250.0,DenseNet201,4,20,524,175.68569135665894,0.2466
CIFAR10,linear,12,32,250.0,DenseNet201,5,20,655,171.71781587600708,0.3495
CIFAR10,linear,12,32,250.0,DenseNet201,6,20,786,171.63449549674988,0.3599
CIFAR10,linear,12,32,250.0,DenseNet201,7,21,917,176.19278216362,0.3953
CIFAR10,linear,12,32,250.0,DenseNet201,8,21,1048,171.85809183120728,0.415
CIFAR10,linear,12,32,250.0,DenseNet201,9,21,1179,171.49647212028503,0.4458
CIFAR10,linear,12,32,250.0,DenseNet201,10,22,1310,175.66533732414246,0.4742
CIFAR10,linear,12,32,250.0,DenseNet201,11,22,1441,171.51696753501892,0.4818
CIFAR10,linear,12,32,250.0,DenseNet201,12,23,1572,175.37504816055298,0.5086
CIFAR10,linear,12,32,250.0,DenseNet201,13,23,1703,171.5034782886505,0.5216
CIFAR10,linear,12,32,250.0,DenseNet201,14,23,1834,171.4620876312256,0.5281
CIFAR10,linear,12,32,250.0,DenseNet201,15,24,1965,175.86959195137024,0.5465
CIFAR10,linear,12,32,250.0,DenseNet201,16,24,2096,171.62583827972412,0.5663
CIFAR10,linear,12,32,250.0,DenseNet201,17,25,2227,175.9381127357483,0.5841
CIFAR10,linear,12,32,250.0,DenseNet201,18,25,2358,172.64808678627014,0.5859
CIFAR10,linear,12,32,250.0,DenseNet201,19,26,2489,175.7134611606598,0.5946
CIFAR10,linear,12,32,250.0,DenseNet201,20,26,2620,172.8950879573822,0.6132
CIFAR10,linear,12,32,250.0,DenseNet201,21,27,2751,175.56686735153198,0.6253
CIFAR10,linear,12,32,250.0,DenseNet201,22,27,2882,171.636577129364,0.6309
CIFAR10,linear,12,32,250.0,DenseNet201,23,28,3013,175.85209465026855,0.6392
CIFAR10,linear,12,32,250.0,DenseNet201,24,29,3144,175.85309195518494,0.6477
CIFAR10,linear,12,32,250.0,DenseNet201,25,29,3275,172.09830856323242,0.6475
CIFAR10,linear,12,32,250.0,DenseNet201,26,30,3406,176.07447743415833,0.6581
